,标题,up主,频道,标签,播放量,粉丝数,点赞,硬币,收藏,分享,弹幕,评论,时间,点赞率,投币率,收藏率,分享率,期数,发布时间,爬取时间
153,世界上BUG最多的搞笑游戏 每局高达5000个BUG！,黑镖客梦回,单机游戏,游戏 单机游戏,17249958,3782712,594359,276600,274184,105069,46074,4690,21629.04444,0.034455678,0.016034822,0.015894763,0.006090971,12,2019/6/6 17:30,2021/11/23 22:32
154,日本的水果有多贵？中国男子在日本买了个瓜后说…,孤独的美食基,零食 水果 探店 日本 美食,美食 美食侦探,2870858,3597836,124723,96624,18269,3526,15842,5383,21460.04361,0.043444503,0.033656837,0.006363603,0.001228204,12,2019/6/13 18:30,2021/11/23 22:32
155,【中文八级】竟匹配到三个老师，我们进行了激烈的学术问答,某幻君,鬼畜 吃鸡 搞笑,游戏 网络游戏,4078767,7107819,213428,121850,77765,35687,55429,7569,21562.54222,0.052326598,0.029874224,0.019065811,0.008749458,12,2019/6/9 12:00,2021/11/23 22:32
156,【前方催泪/治愈】整个世界都不要我了，除了你,枫泽雨畔,,动画 综合,4586323,357284,310196,224717,238666,30037,15823,5088,21579.51556,0.06763501,0.048997203,0.052038637,0.006549255,12,2019/6/8 19:02,2021/11/23 22:32
157,【老番茄】最强间谍王,老番茄,,游戏 手机游戏,10930122,16529872,367369,165809,94344,34199,30981,7028,21490.54361,0.033610695,0.015169913,0.00863156,0.003128876,12,2019/6/12 12:00,2021/11/23 22:32
158,【全程踩点/视觉盛宴】游戏CG战斗女神混剪 - You should see me in a crown,混剪晓佳,GMV,游戏 GMV,1170340,579049,53129,38163,46174,3941,2175,1246,21603.53694,0.04539621,0.032608473,0.039453492,0.003367398,12,2019/6/7 19:00,2021/11/23 22:32
159,《赛博朋克2077》 —— 2019年E3官方预告片（中文配音版）,CD_PROJEKT_RED,赛博朋克2077,游戏 单机游戏,5423258,919675,98666,60201,47712,66469,12399,12497,21545.27139,0.018193123,0.011100523,0.008797664,0.012256286,12,2019/6/10 5:16,2021/11/23 22:32
160,华农兄弟：带这两只白竹鼠到沙子上玩一下，给它们降降温,华农兄弟,竹鼠 吱星人,动物圈 动物综合,3134157,6477685,96261,25373,6429,2402,23830,5459,21540.21444,0.030713522,0.008095638,0.002051269,0.000766394,12,2019/6/10 10:20,2021/11/23 22:33
161,2019头号神片出炉！连续三集狂砍破纪录好评！up主都看哭了,LexBurner,动漫杂谈,动画 综合,7006381,6961037,471313,457834,171529,55187,45484,33082,21601.29889,0.067269108,0.06534529,0.024481826,0.007876677,12,2019/6/7 21:15,2021/11/23 22:33
162,亲爱的旅人啊【千与千寻】,卡布叻_周深,毕业季 周深 翻唱,音乐 翻唱,6838835,2094969,374007,329974,279206,78588,42743,18547,21434.27694,0.054688701,0.048250031,0.040826544,0.011491431,13,2019/6/14 20:16,2021/11/23 22:33
163,小学语文课本里一共有多少假课文？（第一期）【阿健】,-阿健-,人文 科普,知识 人文历史,2747425,684167,208514,159402,102751,23988,18939,9890,21436.53806,0.075894337,0.05801869,0.037399019,0.008731085,13,2019/6/14 18:01,2021/11/23 22:33
164,游乐入驻,游乐王子-袁奇峰,巴啦啦小魔仙 鬼畜 综艺 搞笑,娱乐 粉丝创作,8611640,409083,338229,138400,42860,24959,46369,30211,21398.7725,0.039275794,0.016071271,0.004976985,0.002898287,13,2019/6/16 7:46,2021/11/23 22:33
165,采访第一个出考场的村霸,白熊ONEヽ,竹鼠 鬼畜 搞笑,鬼畜 鬼畜调教,1449549,455496,59612,25204,15970,4712,3110,1064,21346.00611,0.041124515,0.017387477,0.01101722,0.003250666,13,2019/6/18 12:32,2021/11/23 22:33
166,被新垣结衣狂撩6分钟，这谁顶得住…,陌上人如钰Q,新垣结衣 影视混剪,影视 影视剪辑,1502969,3114,39090,31974,40549,13800,5587,2455,21421.04889,0.02600852,0.021273892,0.026979266,0.009181826,13,2019/6/15 9:30,2021/11/23 22:33
167,改掉脖子前探/头前倾，只需要2个动作，每天5分钟！,闫帅奇,健身,运动 健身,2530965,1665629,115968,94055,238854,20160,3255,2812,21510.45778,0.045819677,0.037161715,0.0943727,0.007965341,13,2019/6/11 16:05,2021/11/23 22:33
168,假装不懂中文去外语最好的学校问路，看北外学生英语水平怎样！,口语老炮儿马思瑞,,生活 日常,2409089,1978728,77717,21886,14615,5113,10836,2936,21337.69944,0.032259912,0.009084762,0.006066609,0.002122379,13,2019/6/18 20:51,2021/11/23 22:33
169,【全职新手】01-煎饼摊工作9小时，我竟然期待月入过万,中国BOY超级大猩猩,,生活 日常,3110053,7757155,208002,198170,57347,6598,80345,5936,21298.54944,0.066880532,0.063719171,0.018439236,0.002121507,13,2019/6/20 12:00,2021/11/23 22:33
