,标题,up主,频道,标签,播放量,粉丝数,点赞,硬币,收藏,分享,弹幕,评论,时间,点赞率,投币率,收藏率,分享率,期数,发布时间,爬取时间
987,因为太怕死，技能就全点复活了【龙女动物学08】扁形动物门,龙女之声,生物 人文 科普,知识 科学科普,3508040,1302555,383662,299142,65218,13360,20543,4012,14869.36194,0.109366484,0.085273258,0.018591008,0.003808394,52,2020/3/14 20:32,2021/11/24 9:54
988,三   国   不   裂,_青红造了个白_,鬼畜调教 鬼畜,鬼畜 鬼畜调教,12609304,894457,974862,679201,426413,149008,59368,10722,14612.41333,0.077312911,0.053865067,0.03381733,0.011817306,53,2020/3/25 13:30,2021/11/24 9:55
989,【 4 月 新 番 ？】 钉 钉 动 画 化 决 定 ！ ！,钉钉DingTalk,钉钉 手书 搞笑,动画 短片·手书·配音,5609292,1172859,532974,132910,110032,102071,69020,18599,14654.33194,0.095016269,0.023694612,0.019616023,0.018196771,53,2020/3/23 19:35,2021/11/24 9:55
990,韩国N号房事件的罪与罚,罗翔说刑法,罗翔 韩国,知识 社科·法律·心理,10452978,19601768,986759,629428,180535,110366,89180,47478,14611.44722,0.094399797,0.060215185,0.017271155,0.010558331,53,2020/3/25 14:28,2021/11/24 9:55
991,“你能量量下巴的长度吗？”,老番茄,,生活 日常,12832245,16531767,909841,305072,141078,20630,175111,27209,14724.30167,0.070902714,0.02377386,0.010994023,0.001607669,53,2020/3/20 21:36,2021/11/24 9:55
992,《 这才叫 水 视 频！》 创意短片,风羽酱-sdk,气象 摄影 短片,知识 科学科普,9306959,212483,1135932,853036,484204,64371,11081,9464,14685.32667,0.122051897,0.091655717,0.052026016,0.006916437,53,2020/3/22 12:35,2021/11/24 9:55
993,为什么给视频网站充了会员，他们一年还是要赔几百亿？,动动枪DongDongGun,,知识 财经商业,6105626,723344,1156179,707167,190262,25455,159234,38445,14655.97833,0.189362893,0.115822194,0.031161751,0.004169106,53,2020/3/23 17:56,2021/11/24 9:55
994,连 环 暴 击 ！【阅片无数40】,凉风Kaze,阅片无数 动漫杂谈 搞笑,动画 综合,6321827,8203024,581477,253346,70466,21273,145954,16875,14603.90389,0.091979265,0.040074807,0.011146461,0.003365008,53,2020/3/25 22:00,2021/11/24 9:55
995,老师看到了我的视频该怎么办！！？,鹤吱菌,搞笑,生活 日常,7421480,2369107,542818,257659,86245,7828,107914,16711,14684.43222,0.073141476,0.034718008,0.011620997,0.001054776,53,2020/3/22 13:29,2021/11/24 9:55
996,B站AV号用完了？？BV号时代降临！！！,树根龙门阵,美股,知识 社科·法律·心理,3280553,851427,226116,41851,48364,19502,51520,18890,14652.71972,0.068926184,0.0127573,0.014742636,0.005944729,53,2020/3/23 21:11,2021/11/24 9:55
997,该来的还是来了，张三本人B站投诉罗翔,大漠叔叔,罗翔,生活 日常,12300384,4733060,488137,29357,36332,13569,37532,15806,14617.41028,0.039684696,0.002386673,0.002953729,0.001103136,53,2020/3/25 8:30,2021/11/24 9:55
998,【小泽】华为P40 Pro首发上手：5000万像素更强夜拍来了！,钟文泽,开箱,科技 数码,1378350,1798024,29768,5369,2421,8889,33243,14310,14575.56917,0.021596837,0.003895237,0.001756448,0.006449015,53,2020/3/27 2:20,2021/11/24 9:55
999,电视里都不敢这么播！,努力的Willing,樊振东 乒乓球 搞笑,运动 竞技体育,9854479,81508,608775,193316,164888,70427,5435,5127,14648.08,0.061776477,0.01961707,0.01673229,0.007146699,53,2020/3/24 1:50,2021/11/24 9:55
1000,B 界 大 战,黎明の妖精,沙雕动画 短片,动画 综合,11781912,379825,1022645,914554,326593,67525,228989,64112,14607.91556,0.086797881,0.077623564,0.027719864,0.005731243,53,2020/3/25 18:00,2021/11/24 9:55
1001,青梅竹马，终究抵不过门当户对。,傾梅z,AMV MAD 古风,国创 国产原创相关,14662324,40158,776077,395783,457474,97570,30221,16936,14727.91306,0.052930013,0.026993197,0.031200647,0.00665447,53,2020/3/20 18:00,2021/11/24 9:55
1002,看完后，你就懂日本女生的情感生活有多乱了！,鲁过一世,动漫杂谈,动画 综合,3555458,1479476,339069,185328,74780,11974,51733,6501,14751.24056,0.095365773,0.05212493,0.021032452,0.00336778,53,2020/3/19 18:40,2021/11/24 9:55
1003,有 内 鬼,LexBurner,阴阳怪气 守望先锋,游戏 电子竞技,9621888,6960501,437435,152798,99116,14459,42151,10121,14706.06889,0.045462491,0.015880251,0.010301097,0.00150272,53,2020/3/21 15:51,2021/11/24 9:55
1004,【老爹单曲】老街—是否记得那条老街上的老店,枫吹枫又落,李荣浩 动感视频 人力VOCALOID 鬼畜,鬼畜 人力VOCALOID,4532781,54370,402160,255425,185064,17647,30016,5810,14664.51528,0.088722575,0.056350616,0.040827916,0.003893195,53,2020/3/23 9:24,2021/11/24 9:55
1005,听说FGO大决战不够味？没关系，我们来剪点好康的！,泛式,动漫杂谈 Fate MAD,动画 综合,1798594,4255681,191848,153840,61857,20341,11401,5668,14748.70528,0.10666554,0.085533478,0.034391864,0.011309389,53,2020/3/19 21:12,2021/11/24 9:55
1006,【蓝染】印染在花布上的靛蓝，铭刻在骨子里的传承——蓝印花布,李子柒,手工 人文,生活 手工,2761695,7928018,394935,374959,74429,25412,33876,10904,14679.9075,0.143004568,0.135771329,0.026950478,0.009201595,53,2020/3/22 18:00,2021/11/24 9:55
1007,仇华情绪高涨，在美华人开始拿起武器，建立紧急互助群！,战忽智库,星海,资讯 综合,7543046,1312808,772412,413517,111012,126769,81001,33571,14708.59444,0.102400542,0.054820957,0.014717132,0.016806075,53,2020/3/21 13:19,2021/11/24 9:55
1008,原以为是个苹果，一刀下去，才发现是个王者,大碗拿铁,甜点 美食,美食 美食制作,9423336,2680561,782199,216136,178369,44969,34644,5606,14727.91417,0.083006591,0.022936251,0.018928435,0.004772089,53,2020/3/20 18:00,2021/11/24 9:55
1009,《静音》当初劝你找个有钱人嫁了，这就是中国式婚姻的真相？,人类实验室,短片,影视 短片,3128687,176492,189618,147338,118761,109763,31517,18323,14651.9025,0.060606254,0.047092598,0.037958735,0.035082768,53,2020/3/23 22:01,2021/11/24 9:55
1010,美国纽约疫情现场，实拍军队建医院，各州争抢物资！,我是郭杰瑞,歪果仁 美国,生活 日常,4213835,7049736,262669,80423,18079,26958,54636,30489,14564.09778,0.062334904,0.019085465,0.004290391,0.006397498,53,2020/3/27 13:49,2021/11/24 9:55
1011,小伙花了两个星期拼出了纯黑地狱拼图！超难版本,贤宝宝Baby,搞笑,生活 日常,9430522,5182728,1443859,897204,194414,23463,149700,14939,14612.01389,0.153104886,0.095138318,0.020615402,0.002487985,53,2020/3/25 13:54,2021/11/24 9:55
1012,把马云防疫手册送给以色列医生，然后我成了马云的朋友｜新冠肺炎,歪果仁研究协会,马云 歪果仁,生活 日常,1012603,4045083,148056,146401,19877,6235,14626,3944,14685.90611,0.146213274,0.144578872,0.019629608,0.006157398,53,2020/3/22 12:00,2021/11/24 9:55
1013,《听Theshy的话》完整版,火树银花的花大侠,动感视频 周杰伦 英雄联盟,音乐 音乐综合,4364982,380246,433505,463305,184398,109796,14678,5942,14711.39917,0.09931427,0.106141331,0.042244848,0.025153827,53,2020/3/21 10:31,2021/11/24 9:55
1014,创造一颗属于你的星球！23个星球形态+14种结局（我的世界 & 互动视频《创世纪》）by GoldenEggs / 金蛋,GoldenEggs,互动视频 宇宙 科幻 我的世界,游戏 单机游戏,3397208,981462,288464,206996,167176,22356,161229,5837,14710.78417,0.084912081,0.060931212,0.049209822,0.006580698,53,2020/3/21 11:08,2021/11/24 9:55
1015,意大利的债务危机【大蜡烛】,大蜡烛,美股 历史 人文,知识 人文历史,1872465,791460,202365,162320,48595,10199,12498,3636,14704.90833,0.108074116,0.086687869,0.025952421,0.005446831,53,2020/3/21 17:00,2021/11/24 9:55
1016,不要“做”挑战？（第二期）,小潮院长,搞笑挑战 vlog 搞笑,生活 搞笑,11782106,7040392,571745,166543,82072,71675,45885,8780,14681.00639,0.048526554,0.014135249,0.006965817,0.006083378,53,2020/3/22 16:55,2021/11/24 9:55
1017,【独树一帜38】英国防疫上演川剧变脸 到底打了谁的白月光脸？,树根龙门阵,美国 英国,知识 社科·法律·心理,2100552,851428,201751,194275,57262,14077,27101,6099,14725.55917,0.096046658,0.092487594,0.027260453,0.006701572,53,2020/3/20 20:21,2021/11/24 9:55
1018,“淡黄的长裙，蓬松的头发”！早这么唱不就完了吗？,深海色带鱼,淡黄的长裙，蓬松的头发 动感视频 鬼畜调教 鬼畜,鬼畜 鬼畜调教,21474787,1073039,783161,225516,265491,238110,49588,16593,14541.125,0.03646886,0.010501431,0.012362917,0.011087886,54,2020/3/28 12:48,2021/11/24 9:55
1019,【半佛】瑞幸咖啡是如何暴打资本主义的？,硬核的半佛仙人,股票 财经 科普,知识 财经商业,10502084,6255884,625135,491855,213528,471640,81782,27288,15807.79583,0.059524852,0.046834038,0.020331965,0.044909182,54,2020/2/4 18:08,2021/11/24 9:55
1020,【何同学】一只鸽子的自白,老师好我叫何同学,摄影 vlog,科技 数码,7319884,8746333,1080025,970985,226503,42686,101879,24321,14461.11111,0.147546737,0.132650326,0.030943523,0.005831513,54,2020/3/31 20:49,2021/11/24 9:55
1021,【老番茄】史上最骚杀手(第九集),老番茄,搞笑 单机游戏,游戏 单机游戏,19227360,16531769,1440283,1073764,378209,40920,348725,105376,14396.91917,0.074907996,0.055845628,0.019670355,0.002128217,54,2020/4/3 13:00,2021/11/24 9:55
1022,愚人节与虚假消息,罗翔说刑法,罗翔,知识 社科·法律·心理,4675520,19601785,540243,237843,69474,21433,58055,16712,14445.92861,0.115547148,0.05086985,0.014859096,0.004584089,54,2020/4/1 12:00,2021/11/24 9:55
1023,真刺激！看这片的心情好似坐过山车！,LexBurner,异度侵入 动漫杂谈,动画 综合,4256381,6960501,381967,172306,59838,10529,21790,16311,14533.63611,0.089739852,0.040481808,0.014058422,0.002473698,54,2020/3/28 20:17,2021/11/24 9:55
1024,用“阿姆”的方式打开“淡黄的长裙”,MUSICAT-,乃万 嘻哈 HIPHOP RAP 翻唱 综艺,音乐 翻唱,6650207,233681,717680,542179,194774,136398,27759,8872,14503.45778,0.107918445,0.081528139,0.029288412,0.020510339,54,2020/3/30 2:28,2021/11/24 9:55
1025,【朱一旦】166 喜迎暴发户回归母亲怀抱！,朱一旦的枯燥生活,搞笑,生活 搞笑,4724819,4218253,276258,71213,15922,11660,6515,6460,14416.18278,0.058469541,0.015072112,0.003369865,0.002467819,54,2020/4/2 17:44,2021/11/24 9:55
1026,自制卫生间多用机器人,手工耿,手工,生活 手工,5973459,6006979,487546,248043,59918,71438,73631,15036,14534.97417,0.081618707,0.041524182,0.010030704,0.011959235,54,2020/3/28 18:57,2021/11/24 9:55
1027,【喜羊羊与灰太狼】我们有武功/历代全员燃向手书,白垩纪怪人,手书,动画 短片·手书·配音,5243709,447709,398022,288828,288128,42647,21279,6830,14462.925,0.07590467,0.05508086,0.054947366,0.008132984,54,2020/3/31 19:00,2021/11/24 9:55
1028,总觉得这狗哪里不对劲？【阅片无数41】,凉风Kaze,阅片无数 动漫杂谈 搞笑,动画 综合,5213019,8203024,497683,175112,55551,12887,64857,20072,14435.91639,0.095469247,0.033591284,0.010656205,0.00247208,54,2020/4/1 22:00,2021/11/24 9:55
1029,纽约疫情：实拍医疗船和野战医院，停车场竟改停尸间！,我是郭杰瑞,歪果仁,生活 日常,4792842,7049736,297215,98855,22380,30261,55067,23512,14445.47639,0.062012267,0.02062555,0.004669463,0.00631379,54,2020/4/1 12:27,2021/11/24 9:55
1030,危险发言！有人说我长得像大力...,Yui柯基大聪明,诸葛大力 成果 柯基 美妆 搞笑,时尚 美妆护肤,4755725,1317014,437241,166022,53470,18018,54607,6358,14485.87333,0.091939925,0.034909924,0.011243291,0.003788697,54,2020/3/30 20:03,2021/11/24 9:55
1031,谋 权 篡 位 2,小潮院长,搞笑,生活 搞笑,9493276,7040392,740754,167071,69239,12484,63461,7452,14425.05361,0.078029334,0.017598877,0.007293478,0.001315036,54,2020/4/2 8:52,2021/11/24 9:55
1032,慎入！当直男给自己化妆...,徐大虾咯,美妆 搞笑,生活 搞笑,4413053,7107785,294688,62053,28556,16666,98186,11444,14461.92222,0.066776447,0.014061241,0.006470804,0.003776524,54,2020/3/31 20:00,2021/11/24 9:55
1033,【黄龄】挑战“淡黄的长裙”死亡rap！你上头了吗？,黄龄,黄龄 RAP 翻唱,音乐 翻唱,5459088,2194618,403207,174724,59996,36929,20546,9839,14440.355,0.073859773,0.032006079,0.010990114,0.006764683,54,2020/4/1 17:34,2021/11/24 9:55
1034,骗子用我照片网恋赚了几百万，还送我上央视！,桥诘聖,,生活 日常,11491413,174214,1030271,141978,120755,83964,96937,22708,14548.29139,0.089655728,0.012355139,0.010508281,0.007306673,54,2020/3/28 5:38,2021/11/24 9:55
1035,卖398一份的米其林招牌菜，自己在家做得花多少钱,绵羊料理,厨艺 吃货 美食,美食 美食制作,5960532,8768326,552263,526554,80909,19129,23891,8036,14460.98667,0.092653307,0.088340101,0.013574124,0.003209277,54,2020/3/31 20:56,2021/11/24 9:55
1036,净耗时80小时，我把史上最难的“自闭”游戏通关了！完结散花,东尼ookii,iwanna 搞笑,游戏 单机游戏,5584579,4376799,554149,369431,83947,13413,166276,7156,14512.26806,0.099228429,0.066151987,0.01503193,0.002401793,54,2020/3/29 17:39,2021/11/24 9:55
1037,【毕导】新冠疫苗的最完全解析：是科学的战争，也是大国的较量,毕导THU,科学,知识 科学科普,2100400,4621592,279076,237392,73339,25291,32640,8187,14518.39028,0.132868025,0.113022281,0.034916683,0.01204104,54,2020/3/29 11:32,2021/11/24 9:56
1038,搓一斤珍珠只要5元！一口duang出天际还有猛男爱吃的口味~,二喵的饭,奶茶 甜点 吃货 美食 搞笑,美食 美食制作,3130851,4291958,345385,150560,93612,13999,7460,3017,14489.64722,0.110316652,0.048089162,0.029899858,0.004471308,54,2020/3/30 16:17,2021/11/24 9:56
1039,【苍穹原创】木兰行【忘川风华录】,忘川风华录,国风音乐 中国风 原创歌曲 虚拟歌手 古风,音乐 VOCALOID·UTAU,5457424,692152,310502,226847,237809,51230,18091,14435,14447.91694,0.056895341,0.041566681,0.043575321,0.009387213,54,2020/4/1 10:01,2021/11/24 9:56
1040,山 东 打 鬼 王,某幻君,仁王 搞笑,游戏 单机游戏,2750940,7108105,269058,145496,56180,4840,41750,7166,14519.02417,0.097805841,0.052889558,0.02042211,0.001759399,54,2020/3/29 10:54,2021/11/24 9:56
1041,玩了这个买房子模拟器，再也不想买房子了!,中国BOY超级大猩猩,恐怖游戏 STEAM 独立游戏 单机游戏,游戏 单机游戏,3688150,7757764,192899,44266,23291,6984,129445,8503,14480.89306,0.052302374,0.012002223,0.00631509,0.001893632,54,2020/3/31 1:02,2021/11/24 9:56
1042,史上最牛脑洞,花少北丶,,游戏 单机游戏,3516971,5731655,385808,249686,87036,9207,78955,18320,14566.47139,0.109698943,0.070994614,0.024747432,0.002617878,54,2020/3/27 11:27,2021/11/24 9:56
1043,鼓乐《兰陵王入阵曲》耳机开最大！来听千军万马！！！,共青团中央,动感视频 琵琶 国风音乐 汉服 古风 演奏,音乐 演奏,15785027,9172388,1103339,870782,779789,126815,40572,17773,14416.43083,0.069897822,0.055165062,0.049400549,0.008033879,54,2020/4/2 17:30,2021/11/24 9:56
1044,一个视频包你学会镜，独创幻影杀、出圈杀学到就是赚到,卓影丶,王者荣耀,游戏 电子竞技,3066234,327137,108820,54817,93731,53517,7414,4701,14482.16472,0.03548979,0.017877631,0.030568769,0.017453658,54,2020/3/30 23:46,2021/11/24 9:56
1045,【师生对线】这网课上得就尼玛离谱！（第五集）,鹤吱菌,配音 守望先锋 搞笑 单机游戏,游戏 单机游戏,11387631,2369106,1190560,1186197,425124,91177,192957,25574,14292.86667,0.104548523,0.104165388,0.037332084,0.00800667,55,2020/4/7 21:04,2021/11/24 9:56
1046,【华农兄弟】以父之名,红色激情,黄绿合战 动感视频 周杰伦 鬼畜 萌宠,鬼畜 人力VOCALOID,10187719,1024970,781881,652332,259500,81565,56623,22185,14302.02,0.076747405,0.064031212,0.025471845,0.008006208,55,2020/4/7 11:55,2021/11/24 9:56
1047,好听到头皮发麻！儿童震撼合唱《See You Again》,皮阿鸡Piag,,音乐 MV,15878457,393723,1067341,382024,825667,116370,38379,9527,14415.93417,0.067219441,0.024059265,0.051999196,0.007328798,55,2020/4/2 18:00,2021/11/24 9:56
1048,【语言篇】一看就会！凑出高B格语言！作文50+太简单！,酸辣土土,知识分享官 考试,生活 日常,4030125,333382,381531,196635,384006,24514,11549,4243,14364.92306,0.094669768,0.048791291,0.095283893,0.00608269,55,2020/4/4 21:01,2021/11/24 9:56
1049,【60帧定格动画】用高达在5分钟内跳完所有MJ的舞蹈,Moouyo默铀,迈克尔杰克逊 定格动画 高达,动画 短片·手书·配音,4825334,61039,667809,821198,321617,81170,26256,13525,14333.19972,0.13839643,0.170184696,0.066651759,0.016821633,55,2020/4/6 4:44,2021/11/24 9:56
1050,高中男子一学期谈753个对象？！【阅片无数42】,凉风Kaze,阅片无数 动漫杂谈 搞笑,动画 综合,5679649,8203024,584764,256406,76363,23284,101830,11851,14267.92917,0.102957771,0.045144691,0.013445021,0.004099549,55,2020/4/8 22:00,2021/11/24 9:56
1051,爱情公寓未播出的一集！曾小贤诺澜分手结局！,黝黑蜗壳天眼老师,李佳航 诸葛大力 张伟 成果 曾小贤 陈赫,影视 影视杂谈,3645388,969865,243818,149983,77716,27972,12766,3405,14397.93778,0.066883964,0.04114322,0.021318993,0.007673257,55,2020/4/3 12:00,2021/11/24 9:56
1052,【半佛】为何川普漠视美国人命,硬核的半佛仙人,财经,知识 财经商业,9581117,6255885,794082,565753,178219,115318,117571,20966,14291.76889,0.082879898,0.059048752,0.018601067,0.012035966,55,2020/4/7 22:10,2021/11/24 9:56
1053,龙吟柠檬【这真的不是柠檬，完美还原柠檬分子料理】,麟宣森,甜点 美食,美食 美食制作,4523592,1556157,597015,411970,116452,29317,24152,6400,14392.93833,0.131978083,0.091071432,0.025743259,0.006480912,55,2020/4/3 17:00,2021/11/24 9:56
1054,【鬼畜新世界26】食 神（完整版）,三木刃,鬼畜全明星 黄绿合战 冬泳怪鸽 奥利给 周淑怡 周星驰 鬼畜,鬼畜 鬼畜剧场,3324397,1401183,472810,521812,179920,50757,58251,7207,14278.02583,0.142224289,0.156964406,0.054121093,0.015268032,55,2020/4/8 11:55,2021/11/24 9:56
1055,请不要过度自恋！！！,狂风桑,配音大赛 动漫杂谈 搞笑,动画 短片·手书·配音,6081466,1637332,341152,46852,52678,21760,17264,2960,14292.85806,0.056097,0.007704063,0.008662056,0.003578085,55,2020/4/7 21:05,2021/11/24 9:56
1056,【特效炉石】猛男间的激情对决！,神奇的老皮VFX,,游戏 电子竞技,2133089,2470203,347631,424750,94269,24950,5919,3234,14256.94111,0.162970696,0.199124368,0.044193655,0.011696652,55,2020/4/9 9:00,2021/11/24 9:56
1057,【Minecraft】清明上河图 [灯火阑珊处 人在画中游]【国家建筑师】[北宋翰林张择端原本],国家建筑师Cthuwork,我的世界,游戏 单机游戏,9020113,767843,806888,730405,399988,94015,45879,6903,14396.27472,0.089454312,0.08097515,0.044344012,0.010422818,55,2020/4/3 13:40,2021/11/24 9:56
1058,疫情，正逼死美国穷人 | 剖析美国医保顽疾 + 中国制度自信,极客队长GeekLead,知识分享官 美国 人文,知识 社科·法律·心理,3403346,526152,340059,221839,85448,38290,73924,15935,14416.05917,0.099919021,0.065182617,0.025107056,0.011250693,55,2020/4/2 17:53,2021/11/24 9:56
1059,全员铁憨憨!,中国BOY超级大猩猩,STEAM 单机游戏,游戏 单机游戏,7133901,7757764,440295,250274,147735,27494,99413,13619,14288.87528,0.061718687,0.035082348,0.020708866,0.003853992,55,2020/4/8 1:04,2021/11/24 9:56
1060,为何美国沦为世界疫情最严重国？我们各州关系像邻居！,我是郭杰瑞,歪果仁 美国,生活 日常,5239605,7049736,426057,183583,43554,45808,53033,20844,14345.55306,0.081314717,0.035037565,0.008312459,0.008742644,55,2020/4/5 16:23,2021/11/24 9:56
1061,灌篮高手全国大赛第一集,安天映画,篮球,动画 综合,2533529,44695,146974,173493,70810,32198,17300,5836,14348.49306,0.058011572,0.06847879,0.027949157,0.012708755,55,2020/4/5 13:27,2021/11/24 9:56
1062,献给这个世界的赞歌！,特别中二的q3君,跑酷 起床战争 游戏集锦 我的世界 单机游戏,游戏 单机游戏,2667277,1162864,371200,301416,158014,20662,16442,6279,14310.21639,0.139168148,0.113005136,0.059241691,0.007746477,55,2020/4/7 3:43,2021/11/24 9:56
1063,“嗨 同志 您知道斯大林格勒在哪吗 我在地图上找不到它了”,海棠家的大肥鱼,影视混剪,影视 影视剪辑,28065233,272709,1198458,636537,750812,80612,83975,16215,14278.68639,0.042702585,0.022680624,0.026752388,0.002872308,55,2020/4/8 11:15,2021/11/24 9:56
1064,常胜将军老番茄,老番茄,,游戏 单机游戏,7692160,16531770,493795,130675,56752,7704,69991,15186,14227.90861,0.064194583,0.016988076,0.007377902,0.001001539,55,2020/4/10 14:02,2021/11/24 9:56
1065,【猫耳猛男厄势力】魔法少女厄加特应援曲,猛男舞团IconX,英雄联盟,舞蹈 舞蹈综合,3685056,2833685,364223,149256,47199,57662,11575,5985,14415.93667,0.098837847,0.040503048,0.012808218,0.015647523,55,2020/4/2 18:00,2021/11/24 9:56
1066,看完以后还不会炸薯条，我就请你吃麦当劳,大碗拿铁,厨艺 吃货 美食,美食 美食制作,6209802,2680561,447943,138529,304340,43218,17663,6953,14351.51639,0.072134828,0.022308119,0.049009614,0.006959642,55,2020/4/5 10:25,2021/11/24 9:56
1067,刘备为何拿起火箭筒,女孩为何穿短裙,刘备 曹操 三国演义 鬼畜调教 鬼畜,鬼畜 鬼畜调教,4098660,2170255,346802,137797,88829,21018,13032,5388,14295.93583,0.084613508,0.033620012,0.021672693,0.005128017,55,2020/4/7 18:00,2021/11/24 9:56
1068,最强医生3,美尼尔动画君,,动画 短片·手书·配音,5206592,273655,708360,760790,244224,30442,26340,6150,14264.50889,0.136050607,0.146120533,0.046906691,0.005846819,55,2020/4/9 1:26,2021/11/24 9:56
1069,【朱一旦】168 好马配好鞍 好旦配好奶,朱一旦的枯燥生活,搞笑,生活 搞笑,4227638,4218253,449514,165882,39493,10298,23118,7589,14320.19639,0.106327458,0.039237513,0.009341623,0.002435876,55,2020/4/6 17:44,2021/11/24 9:56
1070,没喝过瑞幸和星巴克的小伙蒙眼对比，它们的差距真的很大么？,敬汉卿,咖啡 搞笑,生活 搞笑,4225885,9251297,284249,44830,14105,6073,59273,10454,14319.74056,0.06726378,0.010608429,0.003337762,0.001437095,55,2020/4/6 18:12,2021/11/24 9:56
1071,今天10点的武汉,8KRAW,武汉 航拍,知识 社科·法律·心理,786532,707030,87387,23697,11781,3799,11536,1546,14368.77972,0.111104189,0.030128463,0.014978412,0.004830064,55,2020/4/4 17:09,2021/11/24 9:56
1072,原以为是个砖头，一刀下去，流口水了！,盗月社食遇记,夜宵 美食侦探 吃货 美食 搞笑,美食 美食侦探,4478722,6294626,371085,149684,29868,6062,52842,5479,14247.97056,0.082855109,0.033421141,0.006668867,0.001353511,55,2020/4/9 17:58,2021/11/24 9:56
1073,百大UP互殴现场！,特效小哥studio,公主连结 搞笑,游戏 手机游戏,8343868,1919988,592163,234917,126138,35981,64336,14369,14074.01639,0.070969843,0.028154448,0.015117449,0.004312269,56,2020/4/16 23:55,2021/11/24 9:56
1074,撕别人家作业犯法吗？,凉风Kaze,法律 科普 搞笑,知识 社科·法律·心理,8051641,8203024,975154,452525,157807,84682,201711,24586,14205.94,0.121112454,0.056202829,0.019599359,0.010517359,56,2020/4/11 12:00,2021/11/24 9:56
1075,【朱一旦】170 我是一只流浪猫,朱一旦的枯燥生活,,,3532266,4218252,340524,150413,36980,18307,18700,18928,1068585.95,0.096403838,0.04258258,0.0104692,0.005182792,56,,2021/11/24 9:57
1076,当英文歌没有了轻声和连读...你能不笑吗？,西柚汁_Official,欧美音乐 翻唱,音乐 翻唱,6229218,41557,420034,123471,150934,86727,62189,7467,14130.06028,0.067429652,0.019821268,0.024230008,0.013922614,56,2020/4/14 15:53,2021/11/24 9:57
1077,【高燃 拟人】致敬“植物大战僵尸” 49种植物全员拟人！,想学画画的初慕,手书 板绘 植物大战僵尸 绘画,动画 短片·手书·配音,4309329,75246,345764,302663,247441,33948,34198,8490,14150.03417,0.080236157,0.070234368,0.057419844,0.007877793,56,2020/4/13 19:54,2021/11/24 9:57
1078,【才浅手工】为什么这把折扇做了40天？用过于硬核的制作方式打造一把暗藏玄机的红蝶折扇,才疏学浅的才浅,红蝶 第五人格 技术宅 手工,科技 极客DIY,7373043,3701379,1078214,1205046,360385,67930,87912,14008,14181.94194,0.146237313,0.163439437,0.048878733,0.009213292,56,2020/4/12 12:00,2021/11/24 9:57
1079,【黑人抬棺】车头一翘，_________,T?m,动感视频 黑人抬棺 电音 鬼畜,鬼畜 鬼畜调教,15932329,853395,576427,222297,225208,99534,47294,8751,14176.54167,0.036179707,0.013952574,0.014135284,0.006247298,56,2020/4/12 17:24,2021/11/24 9:57
1080,【半佛】罗永浩是如何颠覆每一个行业的。,硬核的半佛仙人,罗永浩 手机 财经,知识 财经商业,5468826,6255885,321670,160742,58899,66056,33841,11074,14200.85972,0.05881884,0.029392414,0.010769953,0.012078644,56,2020/4/11 17:05,2021/11/24 9:57
1081,自制不锈钢AK47键盘,手工耿,手工,生活 手工,11209704,6006980,806228,391761,114332,113206,25131,19401,14222.68056,0.071922327,0.03494838,0.010199377,0.010098929,56,2020/4/10 19:16,2021/11/24 9:57
1082,【罗翔】我们为什么要读书？,罗翔说刑法,罗翔,知识 社科·法律·心理,12004927,19601799,970506,704397,532703,216002,141703,31316,14134.00306,0.080842307,0.058675659,0.044373698,0.017992779,56,2020/4/14 11:56,2021/11/24 9:57
1083,【艾叔】电视剧《安家》同款豪宅，距离我们究竟有多远,小艾大叔,豪宅 室内设计 装修 上海 家居 摄影 科普,生活 家居房产,2252389,2380097,175900,101767,27936,17875,18824,3707,14182.37528,0.078094858,0.045181805,0.012402831,0.007936018,56,2020/4/12 11:34,2021/11/24 9:57
1084,龍,丿丶龙猫,成龙,影视 影视剪辑,14146818,19152,1280395,883623,522237,31090,140883,15795,14115.94,0.090507632,0.062460901,0.03691551,0.002197667,56,2020/4/15 6:00,2021/11/24 9:57
1085,【蜡笔小新】少年,仙道居士,黄绿合战 蜡笔小新 人力VOCALOID 鬼畜调教 鬼畜,鬼畜 人力VOCALOID,1829380,162632,196515,133577,74955,11136,12883,3000,14110.02778,0.10742164,0.073017634,0.040972898,0.006087308,56,2020/4/15 11:55,2021/11/24 9:57
1086,纽约20万确诊，实拍政府免费食物，探访医院当前情况！,我是郭杰瑞,歪果仁 美国,生活 日常,3711648,7049736,287484,103059,19269,10480,38980,14269,14110.24917,0.077454543,0.027766372,0.005191494,0.002823544,56,2020/4/15 11:42,2021/11/24 9:57
1087,解决男生「雌化」尴尬，脂肪胸变胸肌！家中可练，不需场地器械。,闫帅奇,增肌 健身,运动 健身,5289520,1665830,303459,267079,533339,35668,18012,8723,14134.03361,0.057369856,0.050492105,0.100829376,0.006743145,56,2020/4/14 11:55,2021/11/24 9:57
1088,“24小时自律挑战”按照世界公认健康作息表生活一天！,记录生活的蛋黄派,吃货 美食 搞笑,美食 美食测评,4866396,6753153,330776,74310,29664,6209,55497,7826,14176.50972,0.067971452,0.015270027,0.006095681,0.001275893,56,2020/4/12 17:26,2021/11/24 9:57
