author,title,tag,partition,funs,like,coins,collect,share,danmu,reply,time,like_rate,views
王师傅和小毛毛,六斤羊腿一整只，胖小伙抱着没法啃，吃完发现花了300多【就得这么晚-04狼来了】,美食 美食侦探,food,1019979,163320,68380,13484,5806,8184,2554,44.23333333,0.136953908,1192518
大漠叔叔,漠叔越来越受村民爱戴，大家参演热情高涨，拦都拦不住！,美食 美食记录,food,4741574,138839,40032,6438,2547,9035,3013,20.33333333,0.119587144,1160986
刘庸干净又卫生,印度街头炒面，大哥跟我之前就认识，知道都不容易，每次都给我很多面！,美食 美食侦探,food,1639992,135940,9107,3500,2783,5586,4201,60.05,0.075764289,1794249
黑猫厨房,大部分人都吃过，但都没这个正宗！,美食 美食制作,food,3687228,84236,33257,6586,1612,1832,1215,39.83333333,0.090430003,931505
老饭骨,"卧汁调味、复炸三次，只为一口""最正宗的东北神菜”!丨锅包肉",美食 美食制作,food,2026495,48508,20196,22594,7672,2883,2102,58.53333333,0.074977086,646971
美食作家王刚R,厨师长教你：“西蓝花”的3种做法及清洗方法，清淡爽口，操作简单,美食 美食制作,food,6045950,58594,12140,15684,3790,2001,1552,62.95,0.089020898,658205
华农兄弟,华农兄弟：邀兄弟帮忙采摘脐橙，顺便挖点冬笋炒腊肉，味道很不错哦,美食 田园美食,food,6480272,81931,14697,3221,1054,10480,2837,20.83333333,0.108329488,756313
秃草是真的,康师傅：求求你不要卷我了,美食 美食测评,food,539837,82997,1555,3533,1947,2633,1662,63.13333333,0.060792707,1365246
江寻千,有老婆的，真!~老婆饼,美食 美食制作,food,765283,140496,50479,23096,10098,4943,2760,112.45,0.070286095,1998916
真探唐仁杰,望京小腰 厨子探店¥301,美食 美食侦探,food,1277693,68112,5578,2885,1048,1555,1087,68.76666667,0.064313576,1059061
小紧张的虫虫,"给我一个饼，我能卷下整个世界的菜,东北筋饼yyds.",美食 美食侦探,food,2244274,59837,16336,4277,2810,4897,1702,38.48333333,0.084372176,709203
哥谭噩梦赫然,我好不容易下厨一次，你却吃的这么彻底,美食 美食制作,food,731334,66646,15130,4436,1112,5387,795,36.35,0.112722605,591239
叶子吖OHYEZI,你尽管吃！小猫咪那我去解释！,美食 美食制作,food,195068,45249,23365,5800,2876,1300,674,20.75,0.079685478,567845
高加索大叔GEORGY,高加索大叔豪气买下整头骆驼招呼朋友，光是处理都花上半天，四种煮法同时进行,美食 田园美食,food,763555,43502,13920,4236,6489,9283,1887,37.35,0.061887203,702924
德国陶渊明,震惊德国家人的中国菜吃法：烤皮蛋！凉拌香菜！一周没吃中餐，秒光！,美食 美食记录,food,417042,46096,26760,4006,316,4976,1610,63.21666667,0.096440997,477971
马壮实Hera,这就是人类难以拒绝的酥脆吗！？,美食 美食制作,food,2193861,42581,29559,8772,934,1369,1136,15.25,0.123301674,345340
大庆赶海,大庆赶海，发现一窝好像大米一样的章鱼宝宝，全部藏在贝壳中,美食 田园美食,food,2562936,62899,6546,1654,895,4123,1354,14.6,0.115175797,546113
大嘴儿美食挠儿哥,4个大哥就吃一个菜，老板娘给安排一道这么硬的菜，满满一大盘麻辣排骨鲤鱼，这得卖多少钱？,美食 美食制作,food,1036782,47375,2690,1360,522,999,856,67.05,0.055743754,849871
小文哥吃吃吃,和敬汉卿用大铁锅炖牛肉，请老铁粉大口吃肉，大碗喝肉汤,美食 美食记录,food,2689731,183382,59500,10157,1417,4978,1702,88.36666667,0.128257727,1429793
玲子reiko-,预约排到明年的法餐？那不得吃爽了再走,美食 美食侦探,food,672813,57045,635,2164,245,299,387,62.28333333,0.086673848,658157
肉肉大搜索,贵州遵义“辣到开花的大鸡腿”，鸡屁股都烤出花，跑了几百公里就为吃这口,美食 美食侦探,food,2172881,47053,5633,3048,6120,2057,1558,40.61666667,0.073846159,637176
铁蛋儿Tyler,空气炸锅真的能做出嘎嘣脆的脆皮五花吗？,美食 美食制作,food,475828,33315,2923,6711,3319,1663,588,45.68333333,0.050049576,665640
穿靴子的饭团,鱼汤面： 终 极 浓 白 方 案,美食 美食制作,food,324744,22878,13790,11197,2654,1353,1058,37.03333333,0.057332742,399039
田野上的繁荣,大学食堂干饭，自助餐一块三毛八一两，一顿怼了一斤多,美食 美食记录,food,2077511,39200,7439,1408,865,4550,2166,20.88333333,0.071423626,548838
姬一元,爆火短视频的“网红水果”究竟是智商税还是真好吃？,美食 美食测评,food,1340015,45006,6522,2220,260,3072,1017,14.5,0.0941237,478158
网不红萌叔Joey,吃一次就爱上的山东特产！,美食 美食测评,food,1842822,39390,11050,3479,1144,5953,2012,14.55,0.108788714,362078
小贝饿了,5元一份蘸料，3元一根裤带面，洗脸盆大的碗太惊人，这样的面你能吃几根！,美食 美食侦探,food,2483328,35274,4029,1693,2157,2842,992,39.55,0.071032584,496589
Meetfood觅食,美国宵夜吃什么？$12.99牛肉薯条盒饭！！试吃美式街头盒饭,美食 美食侦探,food,1130906,45420,9624,2459,524,3338,795,14.08333333,0.134259533,338300
别叫我狗哥-,放假碎片：我终于摘牙套啦！！！！！！立刻安排一顿小冒菜庆祝！！！！！！,美食 美食记录,food,641382,39108,292,690,104,233,437,61.91666667,0.074161024,527339
滇西小哥,一席一果（十四）椰子——不止海边，云贵高原也有椰子【滇西小哥】,美食 美食制作,food,992856,34997,16133,2484,954,3378,1386,38.38333333,0.116691285,299911
小马逛吃,英国兄弟中国网红店零食大测评！不远万里我也要和你们逛一样的店,美食 美食测评,food,860424,42191,11204,2010,171,2777,581,68.38333333,0.1399653,301439
燕子堡BBQ学徒Ray,新胡建F4首聚，渣叔竟然现场表演RAP,美食 美食制作,food,1650230,37149,10014,2054,232,1660,477,61.4,0.112953689,328887
多拉的十九N,跟真正的大师学3天，只需要一根擀面杖，就能做出米其林超大的蝴蝶酥～,美食 美食制作,food,955710,25244,8941,7558,868,749,1118,62.25,0.101480969,248756
我的样子平平无奇,大葱塞肥肠，豆腐能爆浆，云南的烧烤太安逸了！,美食 美食制作,food,2079585,31174,6129,2546,1232,1754,641,38.4,0.087432338,356550
日食记,耗3小时，做500根串串，我已经能去楼下开店了。,美食 美食制作,food,6205045,185600,75064,38061,24980,5640,1953,134.3166667,0.080538951,2304475
小酥小生活,30岁农民工小伙下了班，满身尘土去给老婆买蛋糕。一个6寸蛋糕，一间400块的出租屋温暖着一家四口,美食 美食记录,food,160505,25514,24393,2495,958,5084,1631,62.73333333,0.123156086,207168
夏波波Brian,7vs1788！价格相差200倍的红烧肉究竟有什么区别？,美食 美食侦探,food,1551830,26653,16289,2216,310,3842,1795,38.4,0.111644019,238732
胖龙的小生活,胖龙自制藤椒牛油火锅，配上牛肉卷，老夏吃的停不下来,美食 美食记录,food,571925,26842,8387,959,338,2160,543,38.9,0.077875356,344679
老七的藏宝阁,盘点那些便宜到吓人，量大到感人的美食边角料,美食 美食测评,food,62479,7636,704,8469,136,16,132,68.4,0.023727181,321825
努力的悉尼小猪猪,听说你们想看我逛超市～这不就来了嘛,美食 美食记录,food,470470,37944,614,1939,418,177,229,83.55,0.07965906,476330
王大齐吖,大齐赶海，发现大蛏王撒盐会吐出一根大舌头，还有卧沙的八爪,美食 田园美食,food,756114,23635,3393,627,1741,2178,512,62.41666667,0.065131365,362882
巫托邦,一不小心毁掉整个童年！,美食 美食制作,food,1190555,25783,10207,2025,300,1085,585,14.33333333,0.098246403,262432
派大林小小厨,今天是家庭版麻辣烫,美食 美食制作,food,92591,18073,202,2779,169,167,246,57.75,0.051524525,350765
神奇海挪,学做【三不沾】本视频和这道菜也不太沾边，但是一想到是个高级料理我又获得了些许安慰！,美食 美食制作,food,284786,97122,3475,8506,1762,3376,1154,213.3333333,0.050677971,1916454
SERGEY谢尔盖,【SERGEY谢尔盖】自制直径30公分萨拉米披萨，又是芝士的盛宴！第一次吃油香油香的烤牛骨髓，配酥脆烤面包|烹饪过程&咀嚼音助眠,美食 美食制作,food,755371,23176,8406,2276,763,2409,914,63,0.108625449,213357
是个泡泡_Pao,美国肯德基全部单品测评,美食 美食测评,food,546989,22936,833,1415,473,798,618,38.41666667,0.077916343,294367
林述巍JACKLIN,价值800元的东星斑，怎么蒸才能立鱼不败之地,美食 美食制作,food,802909,21484,11322,3083,498,2563,409,18.7,0.112255401,191385
老赵精品盘锦稻田蟹,吃大闸蟹的方法,美食 美食测评,food,279,16952,619,8317,1489,175,548,134.4666667,0.032641869,519333
非洲飞哥,谷嘎史密斯难得有空来我家玩，侯哥请他吃北方大冷面，酸甜口的特别解馋，看得我都口水直流,美食 美食记录,food,517840,26338,7216,935,234,3238,1334,73.76666667,0.088841665,296460
吃货请闭眼,今天吃一个up主……开的店！,美食 美食侦探,food,1891130,18478,1680,989,310,1581,600,59.43333333,0.058477459,315985
食贫道,这什么神仙搭配？广东风味榴莲瓦煲鸡，好好食！,美食 美食侦探,food,2256180,22473,5609,2067,1771,2468,610,62.43333333,0.099527452,225797
密子君,老饕最爱本地冒菜！不重口的油香小火锅 | 成都美味探店,美食 美食侦探,food,3005458,21301,2315,1101,365,1099,452,37.93333333,0.080104846,265914
花二Strange,低至1元必入零食墙裂安利篇！网友推荐的就是牛！超实惠白菜价！求别停产别涨价！,美食 美食测评,food,1130867,19550,3883,2743,508,3966,407,64.1,0.087235505,224106
小乐思鱼,展示一条切片的酸菜鱼,美食 田园美食,food,237769,124274,3276,8543,3693,2542,2838,587.8833333,0.060038823,2069894
泰国阿航,泰国路边摊-海鲜冬阴功汤面,美食 美食侦探,food,181943,18305,1365,1415,929,648,580,62.95,0.067644472,270606
渣叔爱酒,1斤多的虾，2斤多的蟹，连明星也排队的五香卷以及开了几十年的沙茶面店，我爱厦门！,美食 美食侦探,food,687541,45400,9739,2646,1194,2245,799,86.78333333,0.108811059,417237
午餐肉艺术家葛世贤,up不是要闭上眼睛表示粉丝很好吃，是因为眼睛小啊其实睁着眼的！,美食 美食记录,food,390589,19638,284,486,56,317,369,59.38333333,0.075567972,259872
波靖仔,试吃10款全网最火的自热米饭，最便宜的竟不到8块？,美食 美食测评,food,1196959,22475,4546,1348,138,2096,470,39.6,0.120636165,186304
没煮熟的大鹅,除了晚上吃啥，我没有一件像样的心事。,美食 美食记录,food,379317,17218,1842,679,367,484,683,61.88333333,0.069837716,246543
野食小哥,这才是冰糖葫芦应该有的样子,美食 田园美食,food,1854972,18723,3859,1018,634,1275,536,38.45,0.086861517,215550
噗噗叽叽__,朋友们说周末的快乐是噗师傅给的！一顿手抓海鲜让他们赖着不走了！,美食 美食制作,food,571304,21670,544,1057,527,145,203,59.88333333,0.100403095,215830
上青杰哥,【上青杰哥】梦幻之鱼 斑石鲷宴,美食 美食记录,food,207783,12545,725,1211,438,511,251,36.95,0.049468836,253594
深夜小鱼干儿,超长拉丝！芝士红薯瀑布，这一份卖30块不过分吧？,美食 美食制作,food,413131,11248,1175,8771,748,122,178,85.8,0.058453032,192428
陕西老乔吃货,花干鸡蛋夹馍做法，在我们陕西街头到处可见的美食，味道撩咋咧。,美食 美食制作,food,275790,11888,933,2472,675,221,349,37.43333333,0.055020735,216064
二喵的饭,试吃杭州23000条评论的火爆面馆！一碗103块，浇头竟堆成一座山……,美食 美食侦探,food,4294125,128422,43576,8911,2000,5068,3128,111.8833333,0.106974919,1200487
Jayson不是Jason,事不过三，我终于制服了龙虾,美食 美食记录,food,26565,13755,85,850,199,134,209,85.23333333,0.046904571,293255
家宴美食厨房,清水炒鸡蛋才是鸡蛋滑嫩的关键，不放1滴油，看饭店大厨正确做法,美食 美食制作,food,22504,25255,3270,8967,2770,1062,1131,242.4333333,0.025867173,976334
无所尉吃什么,北京最火的和牛烤肉，消费1828元，小姐姐吃开心了吗,美食 美食侦探,food,287228,18703,9570,1457,441,1181,555,35.13333333,0.165611469,112933
徐大sao,招待亲戚，做3斤地锅猪尾，这舀个一大勺吃，也太馋人了,美食 美食制作,food,4009938,13395,1585,398,149,874,166,61.96666667,0.059067097,226776
哇塞几张,50年的茅台有多贵？探店1680一位的全国最贵贵州菜！,美食 美食侦探,food,788369,16051,4856,1093,395,2184,464,15.48333333,0.093969358,170811
康仔农人V,烟雾缭绕，一顿美味的牛肉火锅，约三五好友共享其乐融融,美食 田园美食,food,57898,23523,870,1610,173,305,243,138.35,0.044367616,530184
BT的便宜厨房,不要看太多赶海视频.........,美食 美食记录,food,104264,216016,21378,19854,19623,3502,3612,206.9833333,0.068976264,3131744
桓桓真的很文静,有谁能帮我解释一下稀了咕neng是啥意思吗哈哈哈哈哈,美食 美食记录,food,319806,16933,154,270,46,174,244,61.9,0.083332103,203199
品诺美食开课啦,黑鸭的做法其实并不难，在家自己也能做，老师傅的讲解就是专业细致,美食 美食制作,food,1759761,21681,3839,9301,1260,472,582,86.15,0.066565963,325707
穿毛裤的小拉泽,无限拉丝？全球6款最最最奇葩零食大测评，网友看完直呼惊呆了！,美食 美食测评,food,450763,17565,4510,860,123,1225,300,62.65,0.116815748,150365
阿星探店,广东潮汕鹅肉三吃，澄海狮头卤鹅，庵埠鹅肉饭，隆都鹅肠火锅,美食 美食侦探,food,421501,13477,9191,1449,701,4091,540,64.98333333,0.10850872,124202
贫穷料理,牛奶别只用喝的了，试试新方法。口水不停，有手就行的~妙喜烤牛奶,美食 美食制作,food,360491,6416,635,5268,248,56,119,62.43333333,0.046975099,136583
别烦下雨,百万粉丝的美食博主居然在夜市卖煎饼为生！哈哈,美食 美食侦探,food,98740,15149,117,1084,38,32,146,61.48333333,0.083578845,181254
姗胖胖Joyce,来来：做挺好，下次别做了,美食 美食制作,food,578808,14203,5749,2970,376,432,275,63.83333333,0.132278434,107372
张喜喜-,成都夜宵天花板？敢跟垃圾桶抢味儿的大排档，去见识一下！,美食 美食测评,food,1557586,12616,2692,721,103,1937,355,38.01666667,0.068508995,184151
真探来了,烧烤配酒，猛男落泪｜真探来了,美食 美食侦探,food,456399,10748,1585,647,208,610,467,69.08333333,0.054488674,197252
米梦杰,万人x书，首次出镜！自助盒饭怼一大盘真中！,美食 美食侦探,food,296503,16175,5230,607,58,638,492,13.41666667,0.11504922,140592
樱桃味的叽歪酱_,只需要剩米饭和牛奶就能做的甜品！无需烤箱，有手就能做,美食 美食制作,food,653621,15297,3547,22400,2022,174,532,106.2666667,0.067447387,226799
小老虎的泰国行,泰国美食：这样的螃蟹你能吃几盒，太幸福了,美食 美食记录,food,309371,10598,307,353,325,175,263,44.5,0.052084767,203476
黑猫厨房,跪求老板别停产！我要一直回购一直买！,美食 美食制作,food,3686596,73209,28380,5754,1343,1623,1109,25.55,0.094367762,775784
拜托了小翔哥,最有意义的食堂羊肉，到底能有多好吃？,美食 美食侦探,food,4368041,144933,70758,12343,1146,7392,1754,116.5,0.097528757,1486054
章余飞不是章鱼飞,晚餐去ole超市简简单单吃一点，没想到遇到了超捧场的粉丝，疯狂夸我！,美食 美食侦探,food,799632,25670,8116,1480,369,2396,501,84.51666667,0.084986211,302049
少女爱丽丝-,南方人第一次吃冻梨 ！！竟然要瞒着爸妈吃！？,美食 美食制作,food,124926,36272,390,4781,889,353,787,135.6166667,0.046581992,778670
中国留学生,用华夫饼机压西兰花,美食 美食制作,food,6047,21186,110,1156,407,165,518,283.4833333,0.022187058,954881
阿晨吃饱了,这土豆片真绝了！双11过后就不用吃土了！只用2块钱就能做出外面几十块的量？今天就来复刻一下！,美食 美食制作,food,83926,69764,10161,83681,4669,423,767,284.7333333,0.031181546,2237349
去种田的向凹凸,从来没听过这种要求！！！,美食 田园美食,food,512959,14645,3781,466,149,2215,711,38.06666667,0.108178581,135378
以前的就,日本这些想太多的包装，是细节还是多此一举,美食 美食记录,food,764,4792,27,776,17,54,480,79.8,0.021291154,225070
夏叔厨房,茄子新做法，秘制蒲烧茄子，软嫩鲜香比鳗鱼还好吃！,美食 美食制作,food,55428,37090,3186,35583,1577,104,240,230.4833333,0.045857494,808810
TheRock_Johnson,【巨食强森】更新上周末的欺骗餐，“巨石吐司”又双叒叕来了（补投）,美食 美食记录,food,2360231,14551,375,547,161,93,257,62.7,0.100142461,145303
女胖胖,自己做关东煮居然这么便宜！在家实现关东煮自由！,美食 美食制作,food,2017398,38503,4714,1877,577,1937,524,88.51666667,0.094451817,407647
南翔不爱吃饭,电影食神里的锦绣多味鱼原来真的被核辐射污染了…,美食 美食制作,food,552006,44219,11099,5455,574,941,764,141.6333333,0.043912665,1006976
结巴老爹,藏在大学食堂的奇怪料理，你吃过几种？,美食 美食制作,food,1204449,14912,2830,560,195,1147,601,21.03333333,0.129120522,115489
小厨娘卷卷,迷你气泡土豆，免油炸，个个空心，酥酥脆脆,美食 美食制作,food,87553,3995,721,5769,454,51,97,83.6,0.037214372,107351
贝加尔阿楠,俄罗斯丈母娘给中国小伙包俄式大饺子 吃到中国饺子直呼太香啦！,美食 美食制作,food,242100,11059,1483,266,35,541,402,43.03333333,0.075738275,146016
本喵叫兔兔,猫德学院的败类有猫德喷出奶咬住盆也要被领养了,动物圈 喵星人,animal,719636,70264,13224,2896,828,782,773,38.83333333,0.096758379,726180
二十要吃奶盖,我家狗捡到了一只小奶猫..,动物圈 汪星人,animal,85824,154627,46777,18989,2758,2086,1700,138.2833333,0.087247205,1772286
李狗蛋的忧伤_,水牛撒娇，送走主人,动物圈 动物综合,animal,3033,44169,897,9928,3334,492,1520,83.28333333,0.070146378,629669
孟婆看我视频都得笑,《猫 生 百 态》,动物圈 喵星人,animal,18604,113171,8554,37017,15932,488,662,191.85,0.075487946,1499193
憨仔如花,邻居养了个神兽，自己跑出来了,动物圈 喵星人,animal,21825,172505,5086,33719,33967,683,1105,181.2666667,0.06969195,2475250
胖龙的小生活,小狗生病了，医生说是心脏病,动物圈 汪星人,animal,571923,30683,27483,1819,129,611,584,63.01666667,0.102096297,300530
灵魂人物z,让大家看看我当时捡初一时到底有多怂，愣是心理建设半天才敢下手,动物圈 喵星人,animal,15229,30685,4194,2956,874,1432,1437,80.75,0.059363628,516899
长白山老万,【探寻】野生紫貂（国家一级保护动物）纪实！,动物圈 野生动物,animal,355216,27978,23187,3466,600,1718,921,38.9,0.107159272,261088
七海悠仁,对狗子吠叫一声，看看他们的反应,动物圈 汪星人,animal,64987,28994,267,6825,2287,711,296,59.58333333,0.084208753,344311
ak_魔女菌,“为了去码头搞点薯条”,动物圈 动物综合,animal,48720,20581,1984,4853,2556,339,593,44.16666667,0.047053256,437398
隔壁公司的傻狗,社死现场，我同事发现了我的B站账号,动物圈 喵星人,animal,51769,110047,939,5591,1108,349,1954,130.65,0.103111127,1067266
无敌的陈大人,养了快二十年的狸花猫，牙都掉光了，估计也快了,动物圈 喵星人,animal,183,24067,240,2062,230,241,995,54.08333333,0.056958595,422535
爆米花给你,《动物拆家行为大赏》,动物圈 汪星人,animal,18838,15591,388,3204,3832,484,294,68.5,0.035497583,439213
趣说动物园,时速386千米，它轻轻掠过鸭脖，鸭子首尾直接“分家”！,动物圈 动物综合,animal,1866,73754,161,5290,414,419,604,156.5,0.079441024,928412
小鱼儿夫妇,今天带你们认识一下几千万人喜欢的猫摄影师长啥样,动物圈 喵星人,animal,285013,35179,456,612,216,203,384,62.16666667,0.101420153,346864
整活专家阿喵,“太阳啊，拥抱我吧”,动物圈 动物综合,animal,7742,270260,45736,120843,43584,4042,2607,182.6833333,0.092014587,2937143
邓峰萌萌摔肿了,小猫咪太胖会变成乌龟？？？,动物圈 喵星人,animal,393692,30369,699,1538,1129,213,386,62.26666667,0.091947585,330286
在下铁头阿彪,阿彪：我是一名侠客，我一般登场比较晚，你们可以叫我——晚侠,动物圈 喵星人,animal,880190,49185,13138,4980,1113,448,751,86.93333333,0.074071787,664018
爬行天下,新闻媒体能不能走点心？这是咱们的二级保护动物，不是入侵物种！,动物圈 动物综合,animal,489408,27235,4407,2189,655,1406,1947,58.35,0.101010663,269625
一只囤囤,好有脾气的小狗!!(个甩头xswl哈哈哈哈哈哈哈哈哈哈哈哈哈哈),动物圈 汪星人,animal,7097,31411,826,9260,5815,87,288,116.5166667,0.064405737,487705
边牧陈贝拉,给你们看看贝拉的腱子肉吧，这是2019年，我狗毛过敏最严重的那段时间,动物圈 汪星人,animal,515063,24719,968,820,924,656,534,69.23333333,0.070201497,352115
陈秃秃的一家,家人们，电视剧都不敢这么演吧！！,动物圈 喵星人,animal,232123,24037,482,760,453,122,488,61.18333333,0.068278203,352045
观察者网,老鼠：就不能饶我一命？,动物圈 喵星人,animal,7168693,23274,140,677,681,249,550,36.53333333,0.067187252,346405
波比是二哈,当二哈见到十只假狗，会是什么反应？,动物圈 汪星人,animal,265140,17975,1823,715,448,673,407,38.56666667,0.052249262,344024
王天霸是只猫,给大橘装上摄像头，看看它天天都去哪玩了（6）,动物圈 喵星人,animal,142426,20097,2744,2838,2836,1141,595,84.6,0.054048603,371832
iPanda熊猫频道,你知道吗？下雪天的大熊猫是甜的！,动物圈 大熊猫,animal,847353,40972,8442,9790,6574,967,1390,93.05,0.077030675,531892
野性灬小和尚,一只自律的鹦鹉，不需要你教它做事。,动物圈 动物综合,animal,17877,55862,1251,11269,4377,130,426,235.15,0.052034305,1073561
焦糖学姐,离家出走小半年的猫回来了,动物圈 喵星人,animal,279911,21620,8597,2321,841,1268,936,16.51666667,0.115722032,186827
郑州的一个兽医,这只猫做了什么  下巴竟然掉了……,动物圈 喵星人,animal,113910,98791,7096,9953,29023,2691,2132,158.6,0.033359154,2961436
田园犬集市,偶遇一只纯种中华田园犬，欣慰的是在我们这个小县城几乎见不到流浪狗，陪伴我们的始终是我们中华古老的犬种广西土猎,动物圈 汪星人,animal,118931,42027,154,2481,306,164,666,107.6,0.116262407,361484
龙馍馍,《动物迷惑行为大赏➐❾》,动物圈 动物综合,animal,970117,48285,5340,3586,2603,1454,443,97.1,0.097973172,492839
北大荒绿森林放鹿人,作为一名护林员，这就是我的幸福时刻。,动物圈 野生动物,animal,45155,149202,40115,11458,2120,1888,3374,323.8333333,0.076334519,1954581
冷风寻犬,大家所说的梦中情狗，今天赶集终于遇上了，一条性格很好的白土松,动物圈 汪星人,animal,197940,16991,2131,1377,1180,1461,1041,61.81666667,0.066142437,256885
白棕先生,《假装不在意》,动物圈 喵星人,animal,280882,28618,940,954,349,366,368,37.7,0.140605501,203534
团宠酸奶妹,变！！！！快点变！！！！！,动物圈 喵星人,animal,254261,21734,560,945,411,837,1279,63.03333333,0.092566644,234793
野生动物天堂,小伙在池塘中钓到一条巨大的黄鳝，目测有五斤重，吃起来一定很过瘾,动物圈 野生动物,animal,3663,9330,460,804,1614,708,909,63.01666667,0.028296565,329722
发财是只喵,在？谈个恋爱？,动物圈 喵星人,animal,86115,16360,237,2280,746,58,213,68.91666667,0.068324382,239446
萌宠指南,猫陪主人上厕所，是怕主人偷吃？,动物圈 喵星人,animal,333334,37977,202,2281,2126,272,440,111.2833333,0.104750556,362547
荷花家的猫和狗,猫咪烤火，我烤猫咪,动物圈 喵星人,animal,189,8419,259,1412,1079,282,833,52.75,0.028540918,294980
动物治愈大师,这只狗…让我开心了两天两夜,动物圈 汪星人,animal,22646,431616,11073,67407,32902,3100,972,452.4,0.067997987,6347482
#NAME?,我家羊驼终于生啦！,动物圈 动物综合,animal,4401,61337,137,5382,4179,1389,1458,329.7333333,0.080568976,761298
你的陈比方本方,妈妈的好大儿（没嘴就行）,动物圈 汪星人,animal,449504,23714,552,962,297,222,400,68.9,0.128411454,184672
帮粿呆冲浪手册,养了两年的小公猫原来是妹妹,动物圈 喵星人,animal,175843,17899,5229,2658,1018,681,556,44.63333333,0.133097858,134480
大喵同志,那一天，我们成为异姓兄弟,动物圈 汪星人,animal,247291,21275,3941,767,369,1678,690,23.63333333,0.130514266,163009
爪子殿下,别睡了！起来撸牛肉串了！能治愈胃疼~,动物圈 喵星人,animal,267993,9213,1172,1474,3400,1011,351,54.01666667,0.038150648,241490
天下一场梦,我准备换大鱼，看你们怎么办,动物圈 动物综合,animal,974398,20635,1276,491,113,664,695,63.41666667,0.117253645,175986
汤圆爹地,击掌也算和好！,动物圈 喵星人,animal,66918,10019,504,896,1457,194,319,69.83333333,0.043545534,230081
宿棂an,要不要和小猫咪贴贴呀,动物圈 喵星人,animal,4176,11594,794,4668,5267,176,241,69.75,0.087644764,132284
秃马君,“它们的快乐正在传染给我”,动物圈 动物综合,animal,242252,25481,5046,9474,5867,435,337,134.1833333,0.040490893,629302
沙雕研究协会会长,四条腿各走各的…,动物圈 喵星人,animal,165766,69042,775,15962,18988,180,861,228.7,0.043064824,1603211
顺溜去你家,有粉丝想看它跳《痒》，安排！你们还想看什么舞，评论区见～,动物圈 动物综合,animal,22351,14108,463,1651,3961,128,461,81.16666667,0.070898035,198990
汪丷先生,这大鹅一瞅就生病了~,动物圈 汪星人,animal,106974,12677,1128,724,483,355,330,61.68333333,0.068273006,185681
猫不理咖啡,希望所有的小动物都可以被温柔对待,动物圈 喵星人,animal,562576,18378,2002,625,87,103,426,14.65,0.135637002,135494
戒喵中心,《怪 盗 阿 喵》,动物圈 喵星人,animal,480840,27645,1021,6287,4566,264,240,118.8666667,0.066796498,413869
牧羊小队长,有人浪迹江湖，有人寒窗苦读！,动物圈 汪星人,animal,500775,16045,3029,1037,893,221,360,62.21666667,0.128099701,125254
邓峰的小号,准备把猫舍从深圳搬到珠海了……「日常」,动物圈 喵星人,animal,151486,14832,741,545,186,713,667,30.45,0.093015089,159458
德牧龙哥,这么有礼貌的狗真的不多了,动物圈 汪星人,animal,191482,17469,993,1434,1096,169,240,106.0333333,0.065484848,266764
超模张铁军,别的猫都还在睡觉！军哥却已经在规划着杭州的未来！,动物圈 喵星人,animal,113224,30942,289,2009,1535,199,300,93.75,0.143223477,216040
papi家的大小咪,大咪暖手宝，小咪用了都说好！,动物圈 喵星人,animal,924070,16292,370,588,152,162,218,40.91666667,0.118333224,137679
白夜喵-,新型秀猫方式,动物圈 喵星人,animal,39898,8691,55,1400,1493,6,181,69.18333333,0.051499476,168759
煎茄子酱,现在已经这么人性化了吗,动物圈 汪星人,animal,1847,237245,2547,29292,14249,569,582,344.1,0.078601698,3018319
我不认识它没被它咬到,生化危机！,动物圈 动物综合,animal,411,69439,935,9267,9455,3869,6109,640.0666667,0.039602758,1753388
喵奴文化-喵君,猫真的不知道饥饱，你也不知道，毕竟都不怎么聪明！,动物圈 喵星人,animal,54151,17886,480,885,190,94,332,85.46666667,0.117212228,152595
克里米亚野生动物园,狮王“奇克”的嘴能有多大,动物圈 野生动物,animal,1622642,14087,4795,1088,106,416,449,21.76666667,0.142498761,98857
央视农业,中国的这些猪 是保护动物？？,动物圈 动物综合,animal,113274,13294,115,714,324,231,630,59.66666667,0.095159697,139702
妮可小姐姐的哈士猪,哈士奇拉车，如何有效防止哈士奇拆家,动物圈 汪星人,animal,55973,30292,456,4558,2499,185,731,181.35,0.047158679,642342
小王必成功_,“呀，毛还是防水的呢”,动物圈 喵星人,animal,356,19711,563,6150,4151,115,222,203.5,0.067305427,292859
空白律君,这…这也太可爱了吧！,动物圈 喵星人,animal,13988,475449,55058,154395,71897,5965,2843,402.85,0.101248115,4695880
二龙在路上,被虐待的狗狗从未享受过抚摸，抬手以为要打它，吓得连连跪地求饶,动物圈 汪星人,animal,1090,7357,4232,520,61,237,328,63.21666667,0.049983355,147189
汤圆酱是只矮脚猫,快发给你第一个想到的人看......,动物圈 喵星人,animal,6374,6733,274,3028,14670,15,319,136.2,0.014295845,470976
喵不酷,超长寿24岁猫猫！能吃能睡从不生病准备成精！（蹭蹭大家的福气，希望雪儿一直健康！）,动物圈 喵星人,animal,3996,252440,42975,25873,13739,12087,7230,206.9,0.120958835,2086991
呆头鹅e子,小柴：给我整不会了…,动物圈 汪星人,animal,10915,4846,220,785,436,188,78,68.93333333,0.028623576,169301
